Water_Name,Water_Body,County,Countycode,ST_Provinc,Location,ID,lat,lon,CRB,Lat_ra,Long_ra,mean_ca_mg_2009,mean_pH_2009,roe_2009,roe_f_2009,ramcharan09,state_ass09,roi_1_2009,roi_2_2009,Roe_rank_2009,roi_3_2009,Roi_rank_2009,Rank_sumAll_2009,Rank_sum_2009,Trips2008,Trips2010,Mn_trips_08_10,DayUsedays08,DayUsedays10,Mn_dayuse_08_10,Size_Acres,No_boats_2012,No_Tourns_2012,No_Tourns_2006_08,No_boats_2006_08,Dayuse_100thm,No_ramps,CaMax_ISDA2011,ISDA2011_Rank,Elevation_ft,Motors,Fishing,Marinas,Cold,Warm,Reports,USERS,MT_Stream_Name,Length_Miles,Drainage,Region,Boat,Total_Pressure,TotPressure_Error,Total_Trips,Resident_Pressure,Res_Pressure_error,Res_Trips,Nonresident_Pressure,Nonres_Presssure_Error,NonRes_Trips,State_Rank,Regional_Rank
"Boise River, South Fork",Anderson Ranch Reservoir,Elmore,Elmo,ID,Dam,Anderson Ranch Reservoir_Elmo_ID,43.357999,-115.446807,1,43.4375,-115.295833,10.3,7.68,Very Low,.,Absence,High3,High,High,1,High,10,11,11,.,.,.,.,.,.,4740,65,9,25,453,7,6,60,Critical,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Boise River, South Fork",Anderson Ranch Reservoir,Elmore,Elmo,ID,Elk Creek Boat Ramp,Anderson Ranch Reservoir_Elmo_ID,43.363611,-115.444226,1,43.4375,-115.295833,10.3,7.68,Very Low,.,Absence,High3,High,High,1,High,10,11,11,.,.,.,.,.,.,4740,65,9,25,453,7,6,60,Critical,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Boise River, South Fork",Anderson Ranch Reservoir,Elmore,Elmo,ID,Evans Creek Boat Ramp,Anderson Ranch Reservoir_Elmo_ID,43.398848,-115.413893,1,43.4375,-115.295833,10.3,7.68,Very Low,.,Absence,High3,High,High,1,High,10,11,11,.,.,.,.,.,.,4740,65,9,25,453,7,6,60,Critical,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Boise River, South Fork",Anderson Ranch Reservoir,Elmore,Elmo,ID,Fall Creek Boat Ramp,Anderson Ranch Reservoir_Elmo_ID,43.420428,-115.388153,1,43.4375,-115.295833,10.3,7.68,Very Low,.,Absence,High3,High,High,1,High,10,11,11,.,.,.,.,.,.,4740,65,9,25,453,7,6,60,Critical,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Boise River, South Fork",Anderson Ranch Reservoir,Elmore,Elmo,ID,Pine Boat Ramp,Anderson Ranch Reservoir_Elmo_ID,43.458147,-115.312495,1,43.4375,-115.295833,10.3,7.68,Very Low,.,Absence,High3,High,High,1,High,10,11,11,.,.,.,.,.,.,4740,65,9,25,453,7,6,60,Critical,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Bear Creek,Antelope Flat Reservoir,Crook,Croo,OR,Antelope Flat Reservoir,Antelope Flat Reservoir_Croo_OR,44.003583,-120.392183,1,44.005556,-120.391667,13.6,.,Low,flag,.,Medium3,.,.,3,.,0,3,.,0,36,18,0,136,68,170,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Jordan Creek,Antelope Reservoir,Malheur,Malh,OR,Antelope Reservoir,Antelope Reservoir_Malh_OR,42.90785,-117.23692,1,42.906667,-117.235833,9.3,8,Very Low,flag,Absence,Medium3,.,.,1,.,0,1,.,.,.,.,.,.,.,3285,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Anthony Lake,Anthony Lake,Baker,Bake,OR,Anthony Lake Campground,Anthony Lake_Bake_OR,44.959,-118.22932,1,44.959,-118.22932,.,.,.,.,.,.,.,.,.,.,.,.,.,347,151,249,640,297,468.5,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise River,Arrowrock Reservoir,Elmore,Elmo,ID,Cinch Creek,Arrowrock Reservoir_ID,43.602526,-115.908091,1,43.591944,-115.916667,.,.,.,.,.,.,Very Low,Low,0,Low,3,3,.,.,.,.,.,.,.,1937,.,.,2,58,.,2,15,High,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Boise River,Arrowrock Reservoir,"Boise, Elmore",Bois,ID,Cinch Creek,Arrowrock Reservoir_ID,43.60278,-115.893748,1,43.591944,-115.916667,.,.,.,.,.,.,Very Low,Low,0,Low,3,3,.,.,.,.,.,.,.,1937,.,.,2,58,.,2,15,High,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
