Water_Name,Water_Body,County,Countycode,ST_Provinc,Location,ID,lat,lon,CRB,Lat_ra,Long_ra,mean_ca_mg_2009,mean_pH_2009,roe_2009,roe_f_2009,ramcharan09,state_ass09,roi_1_2009,roi_2_2009,Roe_rank_2009,roi_3_2009,Roi_rank_2009,Rank_sumAll_2009,Rank_sum_2009,Trips2008,Trips2010,Mn_trips_08_10,DayUsedays08,DayUsedays10,Mn_dayuse_08_10,Size_Acres,No_boats_2012,No_Tourns_2012,No_Tourns_2006_08,No_boats_2006_08,Dayuse_100thm,No_ramps,CaMax_ISDA2011,ISDA2011_Rank,Elevation_ft,Motors,Fishing,Marinas,Cold,Warm,Reports,USERS,MT_Stream_Name,Length_Miles,Drainage,Region,Boat,Total_Pressure,TotPressure_Error,Total_Trips,Resident_Pressure,Res_Pressure_error,Res_Trips,Nonresident_Pressure,Nonres_Presssure_Error,NonRes_Trips,State_Rank,Regional_Rank
Clackamas River,Clackamas River,"Marion, Clackamas",Clac,OR,Feldheimer Park,Clackamas River_Mari_OR,45.32797,-122.38233,1,45.38178333,-122.4126833,.,.,.,.,.,.,.,.,.,.,.,.,.,8667,14470,11568.5,8439,19228,13833.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clackamas River,Clackamas River,"Marion, Clackamas",Clac,OR,McIver State Park,Clackamas River_Mari_OR,45.29925,-122.36015,1,45.38178333,-122.4126833,.,.,.,.,.,.,.,.,.,.,.,.,.,8667,14470,11568.5,8439,19228,13833.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clackamas River,Clackamas River,"Marion, Clackamas",Clac,OR,McIver State Park Lower Ramp,Clackamas River_Mari_OR,45.31175,-122.380367,1,45.38178333,-122.4126833,.,.,.,.,.,.,.,.,.,.,.,.,.,8667,14470,11568.5,8439,19228,13833.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clackamas River,Clackamas River,"Marion, Clackamas",Clac,OR,Riverside Park,Clackamas River_Mari_OR,45.3965,-122.5619,1,45.38178333,-122.4126833,.,.,.,.,.,.,.,.,.,.,.,.,.,8667,14470,11568.5,8439,19228,13833.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clark Fork River,Clark Fork River Sec 01,Sanders,Sand,MT,McKay Landing,Clark Fork River Sec 01_Sand_MT,47.536826,-115.079212,1,47.8132683,-115.5290589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2178,.,.,.,.,.,.,.,Clark Fork River Sec 01,93.7,Lower Clark Fork,1,1,21522,2653,362,15305,2360,268,6217,1213,94,27,5
Clark Fork River,Clark Fork River Sec 01,Sanders,Sand,MT,Pair-A-Dice,Clark Fork River Sec 01_Sand_MT,47.383468,-114.799059,1,47.8132683,-115.5290589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2178,.,.,.,.,.,.,.,Clark Fork River Sec 01,93.7,Lower Clark Fork,1,1,21522,2653,362,15305,2360,268,6217,1213,94,27,5
Clark Fork River,Clark Fork River Sec 02,Mineral/Missoula/Sanders,Mine,MT,Big Eddy,Clark Fork River Sec 02_Mine_MT,47.193364,-114.87987,1,47.0590894,-114.7701267,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2474,.,.,.,.,.,.,.,Clark Fork River Sec 02,104,Lower Clark Fork,1,1,34767,2844,650,19920,2324,390,14847,1639,260,17,4
Clark Fork River,Clark Fork River Sec 02,Mineral,Mine,MT,Cyr Bridge,Clark Fork River Sec 02_Mine_MT,47.005281,-114.579139,1,47.0590894,-114.7701267,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2474,.,.,.,.,.,.,.,Clark Fork River Sec 02,104,Lower Clark Fork,1,1,34767,2844,650,19920,2324,390,14847,1639,260,17,4
Clark Fork River,Clark Fork River Sec 02,Mineral,Mine,MT,Dry Creek,Clark Fork River Sec 02_Mine_MT,47.225239,-114.963614,1,47.0590894,-114.7701267,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2474,.,.,.,.,.,.,.,Clark Fork River Sec 02,104,Lower Clark Fork,1,1,34767,2844,650,19920,2324,390,14847,1639,260,17,4
Clark Fork River,Clark Fork River Sec 02,Mineral,Mine,MT,Forest Grove,Clark Fork River Sec 02_Mine_MT,47.076207,-114.761407,1,47.0590894,-114.7701267,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2474,.,.,.,.,.,.,.,Clark Fork River Sec 02,104,Lower Clark Fork,1,1,34767,2844,650,19920,2324,390,14847,1639,260,17,4
Clark Fork River,Clark Fork River Sec 02,Mineral,Mine,MT,Natural Pier,Clark Fork River Sec 02_Mine_MT,47.015035,-114.506707,1,47.0590894,-114.7701267,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2474,.,.,.,.,.,.,.,Clark Fork River Sec 02,104,Lower Clark Fork,1,1,34767,2844,650,19920,2324,390,14847,1639,260,17,4
Clark Fork River,Clark Fork River Sec 02,Mineral,Mine,MT,Petty Creek,Clark Fork River Sec 02_Mine_MT,46.991121,-114.445393,1,47.0590894,-114.7701267,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2474,.,.,.,.,.,.,.,Clark Fork River Sec 02,104,Lower Clark Fork,1,1,34767,2844,650,19920,2324,390,14847,1639,260,17,4
Clark Fork River,Clark Fork River Sec 02,Mineral,Mine,MT,St. John's,Clark Fork River Sec 02_Mine_MT,47.012586,-114.542686,1,47.0590894,-114.7701267,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2474,.,.,.,.,.,.,.,Clark Fork River Sec 02,104,Lower Clark Fork,1,1,34767,2844,650,19920,2324,390,14847,1639,260,17,4
Clark Fork River,Clark Fork River Sec 02,Mineral,Mine,MT,St. Regis,Clark Fork River Sec 02_Mine_MT,47.301973,-115.088025,1,47.0590894,-114.7701267,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2474,.,.,.,.,.,.,.,Clark Fork River Sec 02,104,Lower Clark Fork,1,1,34767,2844,650,19920,2324,390,14847,1639,260,17,4
Clark Fork River,Clark Fork River Sec 02,Mineral,Mine,MT,Tarkio East,Clark Fork River Sec 02_Mine_MT,47.020749,-114.653277,1,47.0590894,-114.7701267,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2474,.,.,.,.,.,.,.,Clark Fork River Sec 02,104,Lower Clark Fork,1,1,34767,2844,650,19920,2324,390,14847,1639,260,17,4
Clark Fork River,Clark Fork River Sec 03,Missoula,Miss,MT,Deep Creek,Clark Fork River Sec 03_Miss_MT,46.929733,-114.2107,1,46.8865915,-113.9287174,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3520,.,.,.,.,.,.,.,Clark Fork River Sec 03,32.2,Middle Clark Fork,2,1,10911,1642,201,8683,1580,158,2228,449,43,56,9
Clark Fork River,Clark Fork River Sec 03,Missoula,Miss,MT,Erskine,Clark Fork River Sec 03_Miss_MT,47.013485,-114.284841,1,46.8865915,-113.9287174,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3520,.,.,.,.,.,.,.,Clark Fork River Sec 03,32.2,Middle Clark Fork,2,1,10911,1642,201,8683,1580,158,2228,449,43,56,9
Clark Fork River,Clark Fork River Sec 03,Missoula,Miss,MT,Kelly Island,Clark Fork River Sec 03_Miss_MT,46.866865,-114.100042,1,46.8865915,-113.9287174,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3520,.,.,.,.,.,.,.,Clark Fork River Sec 03,32.2,Middle Clark Fork,2,1,10911,1642,201,8683,1580,158,2228,449,43,56,9
Clark Fork River,Clark Fork River Sec 03,Missoula,Miss,MT,Kona Bridge,Clark Fork River Sec 03_Miss_MT,46.898566,-114.151666,1,46.8865915,-113.9287174,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3520,.,.,.,.,.,.,.,Clark Fork River Sec 03,32.2,Middle Clark Fork,2,1,10911,1642,201,8683,1580,158,2228,449,43,56,9
Clark Fork River,Clark Fork River Sec 03,Missoula,Miss,MT,Sha-Ron,Clark Fork River Sec 03_Miss_MT,46.881358,-113.934649,1,46.8865915,-113.9287174,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3520,.,.,.,.,.,.,.,Clark Fork River Sec 03,32.2,Middle Clark Fork,2,1,10911,1642,201,8683,1580,158,2228,449,43,56,9
Clark Fork River,Clark Fork River Sec 04,Missoula/Granite/Powell,Miss,MT,Bearmouth,Clark Fork River Sec 04_Miss_MT,46.700105,-113.431946,1,46.6963194,-113.2131234,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3002,.,.,.,.,.,.,.,Clark Fork River Sec 04,61,Upper/Middle Clark Fork,2,1,6128,1039,114,4332,944,80,1796,434,34,94,16
Clark Fork River,Clark Fork River Sec 04,Granite/Missoula,Gran,MT,Drummond,Clark Fork River Sec 04_Miss_MT,46.660724,-113.148286,1,46.6963194,-113.2131234,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3002,.,.,.,.,.,.,.,Clark Fork River Sec 04,61,Upper/Middle Clark Fork,2,1,6128,1039,114,4332,944,80,1796,434,34,94,16
Clark Fork River,Clark Fork River,Bonner,Bonn,ID,Johnson Creek,Clark Fork River_Bonn_ID,48.139071,-116.227905,1,48.13671,-116.17191,23.6,.,Medium,flag,.,.,.,.,5,.,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clark Fork River,Clark Fork River,Missoula,Miss,MT,Turah,Clark Fork River_Miss_MT,46.822161,-113.808206,1,46.821667,-113.808056,33.2,7.91,High,.,Presence,High3,High,High,10,High,10,20,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clatskanie River,Clatskanie River,Columbia,Colu,OR,Beaver Landing,Clatskanie River_Colu_OR,46.107433,-123.206367,1,46.10743333,-123.2063667,.,.,.,.,.,.,.,.,.,.,.,.,.,117,0,58.5,117,0,58.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clatskanie River,Clatskanie River,Columbia,Colu,OR,Clatskanie City Park,Clatskanie River_Colu_OR,46.10423,-123.2005,1,46.10743333,-123.2063667,.,.,.,.,.,.,.,.,.,.,.,.,.,117,0,58.5,117,0,58.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cle Elum River,Cle Elum Lake/Reservoir,Kittitas,Kitt,WA,Dry Creek,Cle Elum Lake/Reservoir_Kitt_WA,47.333172,-121.106769,1,47.249983,-121.075317,4.7,7.08,Very Low,.,Absence,.,.,Medium,1,Medium,5,6,6,.,.,.,.,.,.,4566,.,.,.,.,.,2,.,.,2227,1,1,0,1,0,20,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cle Elum River,Cle Elum Lake/Reservoir,Kittitas,Kitt,WA,Morgan Creek,Cle Elum Lake/Reservoir_Kitt_WA,47.31845,-121.104269,1,47.249983,-121.075317,4.7,7.08,Very Low,.,Absence,.,.,Medium,1,Medium,5,6,6,.,.,.,.,.,.,4566,.,.,.,.,.,2,.,.,2227,1,1,0,1,0,20,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cle Elum River,Cle Elum Lake/Reservoir,Kittitas,Kitt,WA,Wish Poosh Campground and Picnic Area,Cle Elum Lake/Reservoir_Kitt_WA,47.281228,-121.092881,1,47.249983,-121.075317,4.7,7.08,Very Low,.,Absence,.,.,Medium,1,Medium,5,6,6,.,.,.,.,.,.,4566,.,.,.,.,.,2,.,.,2227,1,1,0,1,0,20,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cle Elum River,Cle Elum River,Kittitas,Kitt,WA,Scatter Creek Campground,Cle Elum River_Kitt_WA,47.510394,-121.063719,1,47.244444,-121.063333,4.7,7.53,Very Low,flag,Absence,.,.,.,1,.,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clear Lake,Clear Lake,Linn,Linn,OR,Clear Lake Day Use,Clear Lake_Linn_OR,44.3747,-121.99846,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clear Lake,Clear Lake,Linn,Linn,OR,Cold Water Cove Campground,Clear Lake_Linn_OR,44.365483,-121.9903,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clear Lake,Clear Lake,Spokane,Spok,WA,Mallard Bay Resort,Clear Lake_Spok_WA,47.519611,-117.701061,1,47.52357,-117.69425,16.4,8.47,Medium,.,Presence,.,Medium,High,5,High,10,15,15,.,.,.,.,.,.,375,.,.,.,.,.,5,.,.,2340,1,1,3,1,1,52,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clear Lake,Clear Lake,Spokane,Spok,WA,Rainbow Cove Resort,Clear Lake_Spok_WA,47.538778,-117.68745,1,47.52357,-117.69425,16.4,8.47,Medium,.,Presence,.,Medium,High,5,High,10,15,15,.,.,.,.,.,.,375,.,.,.,.,.,5,.,.,2340,1,1,3,1,1,52,26,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clear Lake,Clear Lake,Wasco,Wasc,OR,Clear Lake Campground,Clear Lake_Wasc_OR,45.17861,-121.69687,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clear Lake,Clear Lake,Yakima,Yaki,WA,Clear Lake Recreation Area,Clear Lake_Yaki_WA,46.627897,-121.270931,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Clearwater River, North Fork","Clearwater River, North Fork",Shoshone,Shos,ID,Bruce's Eddy,"Clearwater River, North Fork_Shos_ID",46.505828,-116.31583,1,47.097,-115.9,1.8,8.39,Very Low,flag,Absence,.,.,.,1,.,0,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,Missoula,Miss,MT,Clearwater Crossing,Clearwater River_Miss_MT,47.001062,-113.380007,1,47.38394,-113.57503,.,.,.,.,.,.,Low,Very Low,0,Low,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3750,.,.,.,.,.,.,.,Clearwater River,41.7,Blackfoot,2,1,2350,666,47,1783,610,38,567,267,9,171,31
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Ahsahka,Clearwater River_Nez_ID,46.505719,-116.335128,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Button Beach,Clearwater River_Nez_ID,46.180045,-115.999454,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Cherry Lane,Clearwater River_Nez_ID,46.511535,-116.688778,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,County Yard,Clearwater River_Nez_ID,46.467494,-116.239497,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Fivemile Creek,Clearwater River_Nez_ID,46.354613,-116.16208,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Halfway Resort,Clearwater River_Nez_ID,46.443081,-116.213319,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Hog Island,Clearwater River_Nez_ID,46.448157,-116.861948,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Kooskia,Clearwater River_Nez_ID,46.148461,-115.972577,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Lenore,Clearwater River_Nez_ID,46.507252,-116.549473,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Lenore Rest Area,Clearwater River_Nez_ID,46.509434,-116.56357,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Little Myrtle,Clearwater River_Nez_ID,46.497019,-116.72673,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,McGill Hole,Clearwater River_Nez_ID,46.499431,-116.371432,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Milepost 52.49,Clearwater River_Nez_ID,46.398601,-116.180572,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Milepost 61,Clearwater River_Nez_ID,46.339295,-116.150565,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,North Lewiston Park,Clearwater River_Nez_ID,46.430435,-116.982464,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Peck,Clearwater River_Nez_ID,46.496954,-116.428431,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Pink House Hole,Clearwater River_Nez_ID,46.502654,-116.348537,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Clearwater River,Clearwater River,"Nez Perce, Clearwater, Lewis, Idaho",Nez,ID,Riverfront Park,Clearwater River_Nez_ID,46.229872,-116.018194,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cocolalla Lake,Cocolalla Lake,Bonner,Bonn,ID,Cocolalla Lake,Cocolalla Lake_Bonn_ID,48.138569,-116.602883,1,48.125121,-116.614172,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,806,7,1,.,.,.,1,7,Medium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coeur d Alene Lake,Coeur d Alene Lake,Kootenai,Koot,ID,3rd Street,Coeur d Alene Lake_Koot_ID,47.671349,-116.782849,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coeur d Alene Lake,Coeur d Alene Lake,Kootenai,Koot,ID,Bell Bay,Coeur d Alene Lake_Koot_ID,47.471886,-116.839811,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coeur d Alene Lake,Coeur d Alene Lake,Kootenai,Koot,ID,Booth Park,Coeur d Alene Lake_Koot_ID,47.638045,-116.713618,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coeur d Alene Lake,Coeur d Alene Lake,Kootenai,Koot,ID,Carlin Bay,Coeur d Alene Lake_Koot_ID,47.536631,-116.775253,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coeur d Alene Lake,Coeur d Alene Lake,Kootenai,Koot,ID,Fullers Landing,Coeur d Alene Lake_Koot_ID,47.43245,-116.787135,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coeur d Alene Lake,Coeur d Alene Lake,Kootenai,Koot,ID,Gasser Point,Coeur d Alene Lake_Koot_ID,47.464668,-116.869855,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coeur d Alene Lake,Coeur d Alene Lake,Kootenai,Koot,ID,Goulds Landing,Coeur d Alene Lake_Koot_ID,47.605274,-116.83398,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coeur d Alene Lake,Coeur d Alene Lake,Kootenai,Koot,ID,Harlow Point,Coeur d Alene Lake_Koot_ID,47.460997,-116.812097,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coeur d Alene Lake,Coeur d Alene Lake,Kootenai,Koot,ID,Harrison,Coeur d Alene Lake_Koot_ID,47.454056,-116.788477,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coeur d Alene Lake,Coeur d Alene Lake,Kootenai,Koot,ID,Higgins Point,Coeur d Alene Lake_Koot_ID,47.629651,-116.69142,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Coeur d Alene Lake,Coeur d Alene Lake,Kootenai,Koot,ID,Kidd Island Bay,Coeur d Alene Lake_Koot_ID,47.634908,-116.803936,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
